Name,n_x,n_y,n_g,Time,Iterations,O_len,W_len,W_len_less,F_Best,F_LB,F_rel,Width_W_Boxes
MitsosBarton2006Ex321,1,1,0,0.116725022,1044,291,0,0,0.2095,0.025624999999999995,0.8776849642004774,0.0
MitsosBarton2006Ex322,1,1,1,0.137810683,1146,294,0,0,0.2095,0.025624999999999995,0.8776849642004774,0.0
MitsosBarton2006Ex323,1,1,1,1800.023154845,146513,81,67176,0,0.176,0.140625,0.20099431818181815,0.0001220703125
MitsosBarton2006Ex324,1,1,0,0.040186188,172,47,0,0,-1.755,-1.90625,0.07934426229508203,0.0
MitsosBarton2006Ex38,1,1,0,0.195107255,2668,876,0,0,0.0,-0.0,0.0,0.0
MitsosBarton2006Ex39,1,1,0,0.060252697,3039,512,0,0,-1.0,-1.0390625,0.03759398496240601,0.0
MorganPatrone2006a,1,1,0,0.100862686,861,332,0,0,-1.0,-1.015625,0.015384615384615385,0.0
MuuQuy2003Ex1,1,2,1,1800.009328087,285787,82918,6187,0,-2.0769,-2.4015960693359375,0.13520011690630332,0.5078125
NieWangYe2017Ex34,1,2,1,1800.002843482,383917,1356,278297,0,2.0,1.98046875,0.009765625,1.0
NieWangYe2017Ex61,2,2,1,1800.003263538,160221,0,149128,0,-1.022,-3.3905748277902603,0.6985761848924985,2.0
Outrata1990Ex1a,2,2,2,1800.006558077,99810,0,167756,0,-8.92,-12.449559375000002,0.28350877879965136,20.0
Outrata1990Ex1b,2,2,2,1800.011926595,101765,0,161418,0,-7.56,-12.5096138671875,0.395664799868064,20.0
Outrata1990Ex1c,2,2,2,1800.013194357,109302,0,210149,0,-12.0,-12.46875,0.03759398496240601,20.0
Outrata1990Ex1d,2,2,2,1800.01586955,114897,0,191333,0,-3.6,-12.478390000000001,0.7115012433495027,20.0
Outrata1990Ex1e,2,2,2,1800.005651984,79553,0,146097,0,-3.15,-10.602847500000001,0.702909996583465,20.0
Outrata1990Ex2a,1,2,2,1800.04059987,292465,0,278916,0,0.5,0.2823486328125,0.435302734375,12.07
Outrata1990Ex2b,1,2,2,1800.002512735,304130,0,277580,0,0.5,0.363677978515625,0.27264404296875,10.0
Outrata1990Ex2c,1,2,2,1800.007827544,314130,0,295582,0,1.86,0.36786753125000016,0.802221757392473,13.456
Outrata1990Ex2d,1,2,2,1800.0001266,257755,0,214840,0,0.92,-0.0,1.0,12.498000000000001
Outrata1990Ex2e,1,2,2,1800.004423801,292460,0,249394,0,0.9,-0.0,1.0,13.999
Outrata1993Ex31,1,2,2,1800.010677838,303317,0,288360,0,1.56,0.44459814164238304,0.7150011912548827,11.9091
Outrata1993Ex32,1,2,2,1800.002056161,322821,0,360455,0,3.208,2.4840810452045923,0.225660522068394,14.06095
Outrata1994Ex31,1,2,2,1800.017592781,272309,0,328925,0,3.208,2.3828125,0.25722802369077313,10.0
OutrataCervinka2009,2,2,3,1800.012513349,72324,0,137037,0,0.0,-11.25,1.0,20.0
PaulaviciusAdjiman2017a,1,1,0,0.131161357,1302,276,0,0,0.25,0.19140625,0.234375,0.0
PaulaviciusAdjiman2017b,1,1,0,0.15273802,1938,766,0,0,-2.0,-2.0,0.0,0.0
SahinCiric1998Ex2,1,1,3,1.169122235,13188,1510,0,0,5.0,4.954514503479004,0.009097099304199219,0.0
ShimizuAiyoshi1981Ex1,1,1,1,1800.001928541,760686,14452,228326,0,100.0,98.05641174316406,0.019435882568359375,5.2203369140625
ShimizuAiyoshi1981Ex2,2,2,0,1800.008378858,191627,0,201610,0,225.0,104.736328125,0.5345052083333334,20.0
ShimizuEtal1997a,1,1,3,1800.001462188,444067,36641,210117,0,NaN,16.791778564453125,NaN,7.2869873046875
ShimizuEtal1997b,1,1,1,1800.006747378,284374,19,565360,0,2250.0,-0.0,1.0,10.0
SinhaMaloDeb2014TP3,2,2,2,1800.018249042,81702,0,120561,0,-18.679,-47.01171875,0.6026735355213959,10.0
