Name,n_x,n_y,n_g,Time,Iterations,O_len,W_len,W_len_less,F_Best,F_LB,F_rel,Width_W_Boxes
AiyoshiShimizu1984Ex2,2,2,2,10.3427017,5004,0,8287,0,5.0,-61.25,1.0816326530612246,50.0
AllendeStill2013,2,2,2,10.0026854,4276,0,7385,0,1.0,-0.125,1.125,10.5
Bard1988Ex1,1,1,3,10.2392734,18451,3353,9539,0,17.0,16.872130706559762,0.007521723143543406,4.004297267578125
Bard1988Ex3,2,2,2,10.0076417,3951,0,6647,0,-12.68,-48.125,0.7365194805194806,10.0
Bard1991Ex1,1,2,1,10.2584114,9327,0,4342,0,2.0,2.0,0.0,2.0
BardBook1998,2,2,3,10.0043534,4249,0,5242,0,0.0,-0.0,0.0,50.0
CalamaiVicente1994a,1,1,3,0.5776268,7647,1613,0,0,0.0,-0.0,0.0,0.0
ClarkWesterberg1990a,1,1,3,0.5291925,5649,641,0,0,5.0,4.904727935791016,0.019054412841796875,0.0
Colson2002BIPA1,1,1,1,10.0019885,9995,22,19019,0,250.0,227.996826171875,0.0880126953125,5.0
Colson2002BIPA2,1,1,3,10.0001306,15264,11,15479,0,17.0,15.190078735351562,0.10646595674402573,4.017578125
