Name,n_x,n_y,n_g,Time,Iterations,O_len,W_len,W_len_less,F_Best,F_LB,F_rel,Width_W_Boxes
FloudasZlobec1998,1,2,2,5400.051278373,219460,335,145882,0,1.0,0.6640625,0.3359375,1.0
GumusFloudas2001Ex1,1,1,1,5400.01262993,502415,147,960112,0,2250.0,-0.0,1.0,12.5
GumusFloudas2001Ex4,1,1,0,0.027630155,183,32,0,0,9.0,7.22265625,0.1974826388888889,0.0
GumusFloudas2001Ex5,1,2,2,5400.005158086,243886,361,128326,0,0.194,0.1,0.4845360824742268,2.165625
HatzEtal2013,1,2,0,436.218044869,246392,38496,0,0,0.0,-0.234375,1.0,0.0
HendersonQuandt1958,1,1,0,5400.008167312,510166,0,906497,0,-3266.67,-3314.381344813826,0.014395249022410293,10.0
HenrionSurowiec2011,1,1,0,489.257240295,142685,50362,0,0,0.0,-0.0,0.0,0.0
IshizukaAiyoshi1992a,1,2,5,108.06790926,88082,13735,0,0,0.0,-0.152587890625,1.0,0.0
KleniatiAdjiman2014Ex3,1,1,0,0.06758536,720,234,0,0,-1.0,-1.015625,0.015384615384615385,0.0
LamparielloSagratella2017Ex23,1,2,1,142.31788268,195628,4633,0,0,-1.0,-1.0,0.0,0.0
LamparielloSagratella2017Ex31,1,1,1,0.046343595,1734,195,0,0,1.0,1.0,0.0,0.0
LamparielloSagratella2017Ex32,1,1,0,0.050685681,1248,155,0,0,0.5,0.236328125,0.52734375,0.0
LamparielloSagratella2017Ex33,1,2,1,1.292024577,9645,2070,0,0,0.5,0.4134559631347656,0.17308807373046875,0.0
LamparielloSagratella2017Ex35,1,1,1,0.044392284,412,67,0,0,0.8,0.7275390625,0.09057617187500006,0.0
LuDebSinha2016b,1,1,0,0.052081392,1,0,0,0,0.0,Inf,NaN,0.0
LuDebSinha2016d,2,2,3,5400.008459546,473446,0,258940,0,NaN,-192.96875,NaN,300.0
LuDebSinha2016e,1,2,3,0.795018257,8072,1450,0,0,NaN,2.25,NaN,0.0
LuDebSinha2016f,2,1,0,5400.300098015,751194,0,421467,0,NaN,-200.0,NaN,300.0
LucchettiEtal1987,1,1,0,0.042716195,438,173,0,0,0.0,-0.0,0.0,0.0
MacalHurter1997,1,1,0,5400.008291829,584572,0,834933,0,81.327,42.94720630756594,0.4719194571597877,10.0
Mirrlees1999,1,1,0,0.216503503,3088,990,0,0,1.002,0.849853515625,0.1518427987774451,0.0
MitsosBarton2006Ex310,1,1,0,1.287309128,6717,2172,0,0,0.5,0.34375,0.3125,0.0
MitsosBarton2006Ex311,1,1,0,3.632810314,15145,4514,0,0,-0.8,-0.8,0.0,0.0
MitsosBarton2006Ex312,1,1,0,0.179855455,1493,637,0,0,0.0,-0.3125,1.0,0.0
MitsosBarton2006Ex313,1,1,0,0.072077965,1098,419,0,0,-1.0,-1.25,0.2,0.0
MitsosBarton2006Ex314,1,1,0,0.062407979,981,368,0,0,0.25,0.0625,0.75,0.0
MitsosBarton2006Ex315,1,1,0,0.042145451,332,84,0,0,0.0,-0.03125,1.0,0.0
MitsosBarton2006Ex316,1,1,0,0.050423122,492,107,0,0,-2.0,-2.25,0.1111111111111111,0.0
MitsosBarton2006Ex317,1,1,0,0.055460574,499,224,0,0,0.1875,0.03125,0.8333333333333334,0.0
MitsosBarton2006Ex318,1,1,0,0.055402998,970,188,0,0,-0.25,-1.0,0.75,0.0
MitsosBarton2006Ex319,1,1,0,0.11442086,814,340,0,0,-0.258,-0.5,0.484,0.0
MitsosBarton2006Ex320,1,1,0,0.117928956,1633,589,0,0,0.3125,0.125,0.6,0.0
MitsosBarton2006Ex321,1,1,0,0.116981047,1015,292,0,0,0.2095,0.025624999999999995,0.8776849642004774,0.0
MitsosBarton2006Ex322,1,1,1,0.141327964,1106,296,0,0,0.2095,0.0625,0.7016706443914081,0.0
MitsosBarton2006Ex323,1,1,1,5400.044422002,232742,82,93389,0,0.176,0.140625,0.20099431818181815,6.103515625e-5
MitsosBarton2006Ex324,1,1,0,0.039310315,123,31,0,0,-1.755,-1.90625,0.07934426229508203,0.0
MitsosBarton2006Ex38,1,1,0,0.201477375,2603,855,0,0,0.0,-0.0,0.0,0.0
MitsosBarton2006Ex39,1,1,0,0.037106622,1519,256,0,0,-1.0,-1.0390625,0.03759398496240601,0.0
MorganPatrone2006a,1,1,0,0.062422179,861,330,0,0,-1.0,-1.015625,0.015384615384615385,0.0
MuuQuy2003Ex1,1,2,1,1202.112430198,242739,64447,0,0,-2.0769,-2.3802146911621094,0.12743165240023777,0.0
NieWangYe2017Ex34,1,2,1,5400.014349202,702124,3464,488965,0,2.0,1.98046875,0.009765625,1.0
NieWangYe2017Ex61,2,2,1,5400.029468239,331921,0,262916,0,-1.022,-1.8615273293107748,0.4509884523809851,2.0
Outrata1990Ex1a,2,2,2,5400.006346892,172553,0,229241,0,-8.92,-12.235809375,0.27099223871326455,10.0
Outrata1990Ex1b,2,2,2,5400.040735798,182844,7,235543,0,-7.56,-11.7336357421875,0.35569842407681646,10.0
Outrata1990Ex1c,2,2,2,5400.083825423,184497,0,361550,0,-12.0,-12.375,0.030303030303030304,10.0
Outrata1990Ex1d,2,2,2,5400.010043542,195239,0,246955,0,-3.6,-12.343702500000001,0.7083533080937426,10.0
Outrata1990Ex1e,2,2,2,5400.045002795,143954,0,239741,0,-3.15,-9.677806093750002,0.6745130074434645,10.0
Outrata1990Ex2a,1,2,2,5400.012927286,571185,0,386252,0,0.5,0.439453125,0.12109375,7.07
Outrata1990Ex2b,1,2,2,5400.01024092,572346,0,379469,0,0.5,0.439453125,0.12109375,5.0
Outrata1990Ex2c,1,2,2,5400.017581647,521545,0,440771,0,1.86,0.42789922314453105,0.7699466542233704,8.456
Outrata1990Ex2d,1,2,2,5400.00454417,492985,0,340151,0,0.92,-0.0,1.0,7.498
Outrata1990Ex2e,1,2,2,5400.027919629,511011,0,388310,0,0.9,-0.0,1.0,8.999
Outrata1993Ex31,1,2,2,5400.004819132,555085,0,389114,0,1.56,0.6256013449936647,0.5989734967989329,6.9091000000000005
Outrata1993Ex32,1,2,2,5400.008442171,429791,5256,560167,0,3.208,2.4812496758384874,0.2265431185042122,9.06095
Outrata1994Ex31,1,2,2,5400.017893622,452943,6804,536600,0,3.208,2.5518798828125,0.20452622106842275,10.0
OutrataCervinka2009,2,2,3,5400.074042768,136081,0,198631,0,0.0,-4.375,1.0,10.0
PaulaviciusAdjiman2017a,1,1,0,0.061501285,970,188,0,0,0.25,0.19140625,0.234375,0.0
PaulaviciusAdjiman2017b,1,1,0,0.163108837,1870,760,0,0,-2.0,-2.0,0.0,0.0
SahinCiric1998Ex2,1,1,3,0.810982697,10910,1148,0,0,5.0,4.954514503479004,0.009097099304199219,0.0
ShimizuAiyoshi1981Ex1,1,1,1,5400.009547959,1398730,100961,4735,0,100.0,98.05641174316406,0.019435882568359375,4.189453125003411
ShimizuAiyoshi1981Ex2,2,2,0,5400.028255444,358134,0,334517,0,225.0,129.39453125,0.4249131944444444,10.0
ShimizuEtal1997a,1,1,3,701.630599323,266600,39025,0,0,NaN,16.831775665283203,NaN,0.0
ShimizuEtal1997b,1,1,1,5400.009493545,485735,0,969075,0,2250.0,-0.0,1.0,5.0
SinhaMaloDeb2014TP3,2,2,2,5400.040896377,158684,0,187832,0,-18.679,-26.5185546875,0.2956252623826184,5.0
SinhaMaloDeb2014TP6,1,2,4,266.090656401,157172,27444,0,0,-1.209,-1.2240257263183594,0.012275662181998312,0.0
SinhaMaloDeb2014TP7,2,2,2,5400.004515414,249486,0,285609,0,-1.961,-25.787353515625,0.9239549727810652,5.0
SinhaMaloDeb2014TP8,2,2,2,5400.015768784,202480,0,343163,0,0.0,-0.0,0.0,50.0
TuyEtal2007,1,1,3,1.46125812,2465,374,0,0,22.5,21.807861328125,0.03076171875,0.0
Vogel2012,1,1,1,299.213420266,347936,13730,0,0,1.0,0.9941492080688477,0.005850791931152344,0.0
YeZhu2010Ex42,1,1,1,303.690175598,347936,13730,0,0,1.0,0.8303413391113281,0.16965866088867188,0.0
YeZhu2010Ex43,1,1,1,5400.025527065,756275,126099,274267,0,1.25,1.0615577697753906,0.1507537841796875,0.9570312500000004
Yezza1996Ex31,1,1,0,0.470155087,3629,1091,0,0,1.5,1.46875,0.020833333333333332,0.0
Yezza1996Ex41,1,1,1,3.354143519,12787,4100,0,0,0.5,0.252716064453125,0.49456787109375,0.0
Zlobec2001b,1,1,2,0.045804475,63,13,0,0,NaN,-0.0,NaN,0.0
