Name,n_x,n_y,n_g,Time,Iterations,O_len,W_len,W_len_less,F_Best,F_LB,F_rel,Width_W_Boxes
AiyoshiShimizu1984Ex2,2,2,2,5400.490108734,213784,0,362591,0,5.0,-33.125,1.150943396226415,50.0
AllendeStill2013,2,2,2,5400.043877242,221410,0,414783,0,1.0,0.0703125,0.9296875,5.5
Bard1988Ex1,1,1,3,331.668423735,169280,36663,0,0,17.0,16.956278362466467,0.0025718610313843057,0.0
Bard1988Ex3,2,2,2,5400.027558279,201877,0,232649,0,-12.68,-20.09765625,0.3690806608357629,5.0
Bard1991Ex1,1,2,1,5400.31625582,686271,24031,126697,0,2.0,2.0,0.0,1.96875
BardBook1998,2,2,3,5400.022731995,190779,0,260236,0,0.0,-0.0,0.0,50.0
CalamaiVicente1994a,1,1,3,0.200041346,3490,749,0,0,0.0,-0.0,0.0,0.0
ClarkWesterberg1990a,1,1,3,0.719812043,10908,1164,0,0,5.0,4.951767921447754,0.009646415710449219,0.0
Colson2002BIPA1,1,1,1,5400.003733754,545321,61,862863,0,250.0,238.64364624023438,0.0454254150390625,5.0
Colson2002BIPA2,1,1,3,5400.012387727,541346,106303,202285,0,17.0,16.93756103515625,0.0036728802849264708,3.99169921875
Colson2002BIPA3,1,1,1,1.503173276,17113,3476,0,0,2.0,1.9951261209229791,0.0024369395385104298,0.0
Colson2002BIPA4,1,1,1,5400.010770115,451514,162686,187159,0,88.79,86.7821058311363,0.022613967438491946,4.365234375
Colson2002BIPA5,1,2,2,2859.748405364,390383,55146,0,0,2.75,2.695229863723324,0.0199164131915186,0.0
DeSilva1978,2,2,0,5400.024387103,416013,370,426258,0,-1.0,-1.432373046875,0.30185784898585305,10.0
Dempe1992a,2,2,1,5400.003952948,303470,2453,238359,0,NaN,-0.78125,NaN,10.0
Dempe1992b,1,1,1,1.719471108,15523,1094,0,0,31.25,27.631103515625,0.1158046875,0.0
DempeDutta2012Ex24,1,1,1,0.027416769,183,32,0,0,0.0,-0.0,0.0,0.0
DempeDutta2012Ex31,2,2,2,5400.005445189,363917,926,292444,0,-1.0,-2.3671875,0.5775577557755776,1.7843749999999998
DempeEtal2012,1,1,0,0.041703184,497,183,0,0,-1.0,-1.0,0.0,0.0
DempeFranke2011Ex41,2,2,1,21.188047398,15184,2202,0,0,5.0,4.64752197265625,0.07049560546875,0.0
DempeFranke2011Ex42,2,2,2,5400.030734355,220356,6212,60183,0,2.13,1.866363525390625,0.12377299277435441,2.0
DempeFranke2014Ex38,2,2,1,5400.021509239,253116,34618,223665,0,-1.0,-2.875,0.6521739130434783,2.0
DempeLohse2011Ex31a,2,2,2,5400.015005893,319903,7,395409,0,-5.5,-6.75,0.18518518518518517,10.0
FalkLiu1995,2,2,0,5400.011912348,402882,340,413452,0,-2.1962,-3.474609375,0.3679289488476672,10.0
FloudasEtal2013,2,2,3,5400.044410938,212213,0,298625,0,0.0,-37.03125,1.0,50.0
