Name,n_x,n_y,n_g,Time,Iterations,O_len,O_I_len,W_len,F_Best,F_LB,F_rel,Width_W_Boxes
AiyoshiShimizu1984Ex2,2,2,2,60.221254495,28446,3686,3040,8764,5.0,3.1875,0.3625,1.0
AllendeStill2013,2,2,2,60.007122053,15482,0,0,29862,1.0,0.28125,0.71875,1.0
Bard1988Ex3,2,2,2,0.105314275,887,64,64,0,-12.68,-3.50775146484375,-0.7233634491448147,0.0
BardBook1998,2,2,3,60.035264576,13216,0,0,17420,0.0,-0.0,0.0,1.0
DeSilva1978,2,2,0,12.185013753,12103,1595,1594,0,-1.0,-1.33984375,0.2536443148688047,0.0
Dempe1992a,2,2,1,60.002337852,20921,800,571,18041,NaN,-0.5,NaN,1.0
DempeDutta2012Ex31,2,2,2,60.000843494,22458,25,25,17583,-1.0,-1.5,0.3333333333333333,1.0
DempeFranke2011Ex41,2,2,1,60.002081677,22034,0,0,21377,5.0,2.515625,0.496875,1.0
DempeFranke2011Ex42,2,2,2,60.006476183,17738,0,0,20979,2.13,1.453125,0.31778169014084506,1.0
DempeFranke2014Ex38,2,2,1,60.002358011,22173,0,0,39902,-1.0,-3.5,0.7142857142857143,1.0
DempeLohse2011Ex31a,2,2,2,60.002029886,18906,16,15,30557,-5.5,-6.75,0.18518518518518517,1.0
FalkLiu1995,2,2,0,10.308347366,12103,1595,1594,0,-2.1962,-2.33984375,0.06139031719532548,0.0
FloudasEtal2013,2,2,3,60.004476484,19415,0,0,24765,0.0,0.34375,-1.0,1.0
LuDebSinha2016d,2,2,3,60.000244675,45939,4579,4579,20730,NaN,-192.5,NaN,1.0
NieWangYe2017Ex61,2,2,1,2.502373612,5553,1810,1772,0,-1.022,-0.2216796875,-0.7830922822896282,0.0
Outrata1990Ex1a,2,2,2,60.006049973,10342,0,0,20524,-8.92,-10.3247,0.1360523792458861,1.0
Outrata1990Ex1b,2,2,2,60.009540656,10324,0,0,17465,-7.56,-9.372950000000001,0.19342362863346133,1.0
Outrata1990Ex1c,2,2,2,60.002725007,13871,0,0,26476,-12.0,-12.1171875,0.009671179883945842,1.0
Outrata1990Ex1d,2,2,2,60.002315644,12302,0,0,23792,-3.6,-5.869890000000001,0.38670060256665806,1.0
Outrata1990Ex1e,2,2,2,60.009198198,7660,0,0,15097,-3.15,-6.170910000000001,0.4895404405509075,1.0000000000000004
OutrataCervinka2009,2,2,3,60.008829966,12202,0,0,13533,0.0,-0.625,1.0,1.0
ShimizuAiyoshi1981Ex2,2,2,0,60.003851562,22222,0,0,27956,225.0,197.890625,0.12048611111111111,1.0
SinhaMaloDeb2014TP3,2,2,2,0.120997191,887,64,64,0,-18.679,-2.75775146484375,-0.852360861671195,0.0
SinhaMaloDeb2014TP7,2,2,2,60.000224795,25212,839,579,23696,-1.961,-0.7018505825908157,-0.6420955723657238,1.0
SinhaMaloDeb2014TP8,2,2,2,0.023045405,1,0,0,0,0.0,Inf,NaN,0.0
